cutoff,trial_number,base_dim,n_layers,latent_dim,activation,strategy,dropout_rate,epochs,learning_rate,loss,permanova,n_clusters,noise_ratio,beta_kl,weight_decay,grad_clip_norm,csm,kl_warmup_ratio,norm
0.03,127,768,3,46,leaky_relu,halve,0.3,150,0.0005793792183299481,0.4965348541736603,0.30223408215948544,2,0.5445736434108527,0.011610962512887058,2.271902144674335e-05,0.5797954428707672,eom,0.3087141995317972,batchnorm
0.05,128,768,3,44,leaky_relu,halve,0.5,150,0.0006227905871120551,0.7526659369468689,0.016739890396939565,15,0.6589147286821705,0.013391571333896988,1.6483869531400338e-05,1.7876387990076985,leaf,0.3518076004430584,batchnorm
0.05,129,256,4,44,leaky_relu,halve,0.5,80,0.0007581028889266772,0.7338865995407104,0.06985032370520813,5,0.7810077519379846,0.012765596979726516,1.774619193961829e-05,1.8896246733773425,leaf,0.3543248943331507,batchnorm
0.05,130,768,3,43,leaky_relu,halve,0.5,150,0.0006692113855068682,0.8124277591705322,0.17066775326575356,4,0.9496124031007752,0.08324753600767623,1.0424392775753308e-05,1.6677626448080165,leaf,0.3014985360238311,batchnorm
0.05,131,768,3,47,leaky_relu,halve,0.5,150,0.0006133787155518311,0.8519739508628845,0.03360117490956159,7,0.9215116279069767,0.050509622103908865,2.8785063034720394e-05,1.7575115931185574,leaf,0.24937910566238858,batchnorm
0.05,132,768,3,42,leaky_relu,halve,0.5,150,0.0005797965087714983,0.641280472278595,0.03308699047621324,17,0.6686046511627907,0.012235342467634636,1.5221329305093906e-05,0.5302082586279379,leaf,0.34994330578722194,batchnorm
0.03,133,768,3,46,leaky_relu,halve,0.3,150,0.0004744690432155733,0.5872548818588257,0.030905463226623204,8,0.8517441860465116,0.06608107193958493,1.935474998764979e-05,1.0912911674248462,leaf,0.37675139217711806,batchnorm
0.07,134,768,3,43,leaky_relu,constant,0.3,150,0.0005441263026807229,0.742524266242981,0.010246757514032095,15,0.7693798449612403,0.025986178917601715,4.559577192218077e-05,0.5781401640888335,leaf,0.28331076631319335,batchnorm
0.07,135,768,3,40,leaky_relu,halve,0.3,150,0.0004114345105072265,0.7448263168334961,0.03313884850614674,15,0.7315891472868217,0.02292868786233801,8.187745593557885e-06,0.5550299574547316,leaf,0.2555468671386749,batchnorm
0.07,136,768,3,45,leaky_relu,constant,0.2,150,0.000543307692038344,0.7326829433441162,0.02454273032483893,14,0.875,0.04635404717617649,1.5269457804915954e-05,1.3659837547870672,leaf,0.2602885229479034,batchnorm
0.07,137,768,3,43,leaky_relu,halve,0.0,150,0.0004799200035938299,0.6519978046417236,0.004573022689927442,11,0.8837209302325582,0.069699414019119,4.7203372023657304e-05,0.586190904280283,leaf,0.2753236066907288,batchnorm
0.07,138,768,3,43,leaky_relu,halve,0.0,150,0.0007209199527721473,0.7078711986541748,0.06442239264581466,8,0.9001937984496124,0.07097766476067788,5.688181604356891e-05,0.5805472368698347,leaf,0.22162197528641459,batchnorm
0.07,141,768,3,44,leaky_relu,halve,0.0,150,0.0005190988939353806,0.6463134288787842,0.02822243437861755,12,0.7693798449612403,0.02913519106967152,3.3704601966217725e-05,1.9340782216072092,leaf,0.3277410355320083,batchnorm
0.07,142,768,3,47,leaky_relu,halve,0.3,150,0.0006328428102898292,0.9488939046859741,0.0641353890011076,8,0.875,0.049501663450154804,1.950699172015889e-05,0.6142476688176586,leaf,0.31220744370809805,batchnorm
0.05,144,768,3,44,leaky_relu,halve,0.5,150,0.0004683905512466219,0.7068251371383667,0.015632736244096068,21,0.7344961240310077,0.010052131684213834,1.6214020050719756e-05,0.5291317281860926,leaf,0.22908668260678652,batchnorm
0.05,145,768,3,50,leaky_relu,halve,0.5,150,8.301438047897961e-05,0.8174447417259216,0.01825836728994394,13,0.7383720930232558,0.01080702548956803,9.337745577503373e-08,0.5871588948829581,leaf,0.27283657156714636,batchnorm
0.05,146,768,3,46,leaky_relu,halve,0.5,150,0.0003458740070139063,0.7793829441070557,0.013480823602888957,19,0.7635658914728682,0.010954783216526046,6.77114993405531e-08,0.672103477683222,leaf,0.22357474045838527,batchnorm
